length,digits,hyphens,brand_sim,suspicious_tld,keywords,domain,label
9,0,0,0.3333,0,0,noviny.sk,legit
14,0,0,0.25,0,0,czechmovie.com,legit
10,0,0,0.1818,0,0,chenyu.ltd,legit
7,0,0,0.25,0,0,dau.mil,legit
11,0,0,0.4706,0,0,gardener.ru,legit
22,0,0,0.3636,0,0,splash.gobbledygook.uk,phishing
14,0,0,0.375,0,0,retrocycle.com,legit
28,0,2,0.3333,0,0,com-desktop-ledgrr.pages.dev,phishing
13,0,0,0.4286,0,0,hageltech.com,legit
19,0,0,0.4211,0,0,brightonpages.co.uk,legit
41,5,4,0.2105,0,0,p01--jpmorganchase--wx9l2zc8jjmz.code.run,phishing
11,0,0,0.4615,0,0,mamaloes.nl,legit
12,2,0,0.2,0,0,web66.com.tw,legit
17,0,0,0.4348,0,0,westfalenhoefe.de,legit
9,0,0,0.5333,0,0,bender.de,legit
22,0,2,0.3333,0,0,us-ldgr-live.pages.dev,phishing
14,0,0,0.2105,0,0,xxxtubeact.com,legit
17,0,0,0.0,0,0,www.roblox.com.mu,phishing
15,2,0,0.375,0,0,polototo37.site,legit
36,0,0,0.3333,0,0,yayasanpendidikandzurriyatulquran.id,legit
7,1,0,0.3077,0,0,idc1.cn,legit
9,0,0,0.6,0,0,aelex.com,legit
25,0,0,0.4,0,0,personcentredsoftware.com,legit
18,0,0,0.5,0,0,dailyplaylists.com,legit
11,0,0,0.5,0,0,datasae.com,legit
10,0,0,0.3333,0,0,funein.com,legit
16,0,0,0.2857,0,0,forumromanum.org,legit
12,0,0,0.4286,0,0,popcrush.com,legit
11,0,0,0.5,0,0,sambent.com,legit
8,0,0,0.3077,0,0,cvte.com,legit
15,0,0,0.4444,0,0,smartpack.world,legit
16,0,0,0.5,0,0,agromania.com.br,legit
22,0,0,0.3333,0,0,explorefreeresults.com,legit
9,0,0,0.4,0,0,sealy.com,legit
10,4,0,0.1818,1,0,0707s.buzz,legit
12,0,0,0.3636,0,0,ephor.online,legit
19,0,0,0.2857,0,0,pacificseedbank.com,legit
45,0,4,0.2326,0,0,web-fun-checkout-prototype-uniswap.vercel.app,phishing
20,0,0,0.3478,0,0,lancashireleague.com,legit
23,0,0,0.4348,0,0,casinospincentral.co.uk,legit
9,2,0,0.2,0,0,bet71.fun,legit
13,0,0,0.5882,0,0,agroseguro.es,legit
13,0,0,0.6316,0,0,ipsantarem.pt,legit
8,0,0,0.2,0,0,urgau.ru,legit
15,0,0,0.4,0,0,chrisbrogan.com,legit
15,0,1,0.381,0,0,civic-europe.eu,legit
16,0,1,0.25,0,0,do-johodai.ac.jp,legit
18,0,0,0.2857,0,0,metamask.github.io,phishing
13,0,1,0.3077,0,0,kobe-np.co.jp,legit
14,0,0,0.4286,0,0,icksplus.co.kr,legit
13,0,0,0.4286,0,0,zebrano.co.nz,legit
15,0,0,0.3,0,0,wemshowcase.com,legit
13,0,0,0.5333,0,0,cpapoutlet.ca,legit
6,1,0,0.2222,0,0,s4w.in,phishing
18,0,0,0.3478,0,0,sveltetraining.com,legit
11,0,0,0.5,0,0,newsner.com,legit
12,0,0,0.4,0,0,feldgrau.com,legit
12,0,0,0.5,0,0,tebrand.asia,legit
13,0,0,0.4,0,0,roblox.com.bn,phishing
7,0,0,0.6,0,0,napo.ru,legit
18,0,0,0.3478,0,0,koshervitamins.com,legit
18,0,0,0.3478,0,0,rupiahtototeam.com,legit
11,0,0,0.4286,0,0,erviplus.cz,legit
